Date,Open,High,Low,Close,Volume,Market Cap,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd,log_return,ret,log_close
2017-02-25,1170.41,1174.85,1124.59,1143.84,139961000,18939500000,1150.60571429,16184050,18587381425,44343352.2449,104095.592105,0.966332389222,0,1955.21556886,10.6333333333,3659185.06092,440779902286,2521531.75,191.30417997,1.14855288347,8.01543116889,561871,326521,199925401,323031,231099,1233214.1553,198406.55252,227869925.569,-0.02575308881284677,-0.025424306454910894,7.0421463020185415
2017-02-26,1144.27,1167.47,1130.2,1165.2,116486000,18518900000,1175.04975,16186275,19133795677.5,32750847.1231,104259.663757,0.921750853933,0,1489.90449438,11,3900209.22661,440779902286,2725922.6,161.17260121,1.41261188934,10.6359831219,462926,265203,200190604,261607,185121,1128100.26651,168919.192825,199679377.838,0.018501723066737696,0.018673940411246148,7.060648025085279
2017-02-27,1163.78,1181.98,1163.38,1179.97,131570000,18837300000,1190.75195,16188075,19325323935,39226303.2747,104395.765252,0.945149270833,0,1976.07638889,12.1666666667,3155225.44175,440779902286,2305227.8,195.38746144,0.902412939747,8.37129395536,501496,284555,200475159,280623,187473,1881223.05021,221116.89378,263969347.795,0.012596268322429438,0.012675935461723853,7.073244293407709
2017-02-28,1180.72,1193.25,1171.82,1179.97,184956000,19113600000,1187.56528571,16189987.5,19241800143.8,44954233.9267,104543.905057,0.968234019608,0,2126.88888889,12.55,3352427.03186,440779902286,2451281.25,227.3714723,0.998213044149,7.81538976451,542156,325414,200800573,321282,207820,1954778.73834,214370.217344,254779003.314,0,0,7.073244293407709
2017-03-01,1180.04,1222.5,1179.69,1222.5,229057000,19104800000,1222.4994,16191787.5,19898087658.8,60151968.3772,104684.902074,0.979145951389,0,2193.63194444,14.3833333333,3155225.44175,440779902286,2416017.4,229.59036693,0.865773229301,7.89584625295,531642,315883,201116456,311841,198193,2493836.06705,234425.170269,288085091.743,0.03540892794131878,0.036043289236167064,7.108653221349027
2017-03-02,1224.68,1262.13,1215.62,1251.01,368275000,19829800000,1259.41081667,16193750,20387931250,83439118.7659,104834.93321,0.95561233121,0,2098.26751592,23.25,3440072.18302,440779902286,2702443.5,252.22663973,0.641910290937,8.46418895607,565741,329428,201445884,325010,222994,2742003.35845,345021.207948,434381700.806,0.023053282691051002,0.02332106339468276,7.1317065040400784
2017-03-03,1250.71,1280.31,1250.71,1274.99,315739000,20253700000,1285.14,16195637.5,20890752811.2,64767014.9663,104983.712007,0.985290046358,0,2233.8410596,19.95,3458650.32319,445545600358,2670737.95,259.68606189,0.649518049969,8.21100857144,583122,337310,201783194,332794,220969,4558368.40204,330581.430646,426416987.39,0.0189871103844359,0.019168511842431624,7.150693614424514
2017-03-04,1277.43,1279.4,1230.51,1255.15,183270000,20688800000,1267.0272,16197287.5,20515484347.5,30448848.5111,105115.847433,0.986085268657,2,2006.52985075,21.15,3069265.84972,460769358090,2317878,222.87178018,0.931723487706,8.94037897453,489871,268875,202052069,265535,184531,1997534.74539,203694.744763,257999763.717,-0.015683248088453894,-0.01556090636004992,7.1350103663360605
2017-03-05,1254.29,1267.29,1238.06,1267.12,134127000,20316000000,1270.9333,16199125,20636065337.5,27572866.8123,105260.392726,0.983301312925,0,1909.78911565,12.1166666667,3367030.44708,460769358090,2524232.85,216.69618574,1.18837067814,9.32125754175,524842,280739,202332808,277612,201958,1232770.74084,172858.201867,220204063.358,0.009491521418103943,0.00953670875990853,7.144501887754164
2017-03-06,1267.47,1276,1264.6,1272.83,153657000,20531900000,1275.197375,16200900,20707990380,38898409.9837,105397.49835,0.96553256338,0,2026.27464789,13.8833333333,3252505.60194,460769358090,2484820.8,238.98093612,0.880394613734,8.94679555748,537228,287731,202620539,283724,178085,1915378.9598,228758.888878,292399611.764,0.004496159073352324,0.004506281962245673,7.148998046827517
2017-03-07,1273.21,1275.55,1204.8,1223.54,291256000,20627100000,1238.447,16202812.5,20046119625,102987980.749,105546.652201,0.974861771242,0,2143.1503268,14.0333333333,3504460.26124,460769358090,2609873.4,269.77191295,0.810266490044,8.23388332704,571328,327902,202948441,323888,214874,2099918.94174,269327.676729,333212201.649,-0.03949447138561357,-0.03872473150381395,7.109503575441903
2017-03-08,1223.23,1232.16,1148.08,1150,332603000,19819800000,1157.3933,16204587.5,18785978288.8,101928717.123,105685.730847,0.979427084507,0,2092.30985915,13.7666666667,3252505.60194,460769358090,2250201.3,233.7307623,0.771297783585,7.83796320777,526232,297108,203245549,293288,200261,2522734.84457,260435.17887,301922502.864,-0.061986354084607065,-0.06010428755904995,7.047517221357296
2017-03-09,1150.35,1197.46,1141.23,1188.49,212283000,18640900000,1192.46914286,16206437.5,19314832212.5,64999435.16,105832.516983,0.991798216216,0,2051.56756757,13.2,3389935.4161,460769358090,2399093.4,236.67178552,0.941249135382,8.19049189144,541481,303632,203549181,299497,204173,5699545.52328,221691.761201,264212241,0.03292165144036918,0.03346956521739086,7.080438872797665
2017-03-10,1189.36,1270.47,1077.25,1116.72,563796000,19275300000,1098.61712857,16208387.5,17733596763.8,227913163.147,105987.241113,0.991821346154,0,1977.44871795,10.0833333333,3573175.16833,460769358090,2329338.9,257.91797636,0.803847837186,7.83087200529,551014,308482,203857663,304333,206104,2751691.90467,274668.646754,300514966.414,-0.06228777659316265,-0.06038755058940326,7.018151096204503
2017-03-11,1116.32,1193.83,1116.32,1175.83,283320000,18093700000,1179.159875,16210250,19011381200,82143460.8364,106135.879995,0.997576389262,0,1883.76510067,15.675,3412840.38513,460769358090,2359087.2,217.66771727,0.995369203823,8.69179138885,518975,280681,204138344,275869,199819,1651256.1743,208984.53652,245097064.43,0.05157846398145072,0.05293180027222544,7.069729560185953
2017-03-12,1176.62,1226.98,1175.36,1221.38,227176000,19073300000,1227.494625,16212187.5,19853444812.5,52464174.422,106284.702697,0.960146464516,0,1426.51612903,14.375,3550270.1993,460769358090,2509817.7,190.62879952,1.22006776037,11.7864706612,422478,221110,204359454,217002,159553,1201859.26651,174427.09894,213603425.362,0.038007085816976094,0.0387385931639781,7.107736646002929
