Date,Open,High,Low,Close,Volume,Market Cap,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2018-01-29,11755.5,11875.6,11179.2,11296.4,7107360000,197871000000,11212.655,16834137.5,188755376010,611119735.311,154157.665063,1.01817389189,0,1568.75675676,12.275,19151151.8202,2603077300220,21651636.805,145.75112922,1.24301173285,96.3823516548,532630,232176,296247899,225983,155772,1941048.8527,160557.706455,1800278170.07
2018-01-28,11475.3,12040.3,11475.3,11786.3,8350360000,193133000000,11765.71,16832287.5,198043813362,738104166.867,154006.975327,1.03100884177,0,1350.92405063,11.95,20445148.5648,2603077300220,24143236.92,155.34485572,1.3022418493,117.430262326,492738,213446,296015723,205967,137919,3128906.09632,163590.56936,1924759197.83
2018-01-27,11174.9,11614.9,10989.2,11440.7,7583270000,188054000000,11524.7766667,16830312.5,193965592793,763094646.01,153844.07593,1.03854792994,0,1232.98089172,11.6,20315748.8903,2603077300220,23654604.1083,168.25469362,1.77860123341,126.855696285,541699,193578,295802277,188058,126082,1363301.06798,119799.46115,1380662034.54
2018-01-26,11256,11656.7,10470.3,11171.4,9746200000,189398000000,10969.815,16828350,184603886255,1135179206.75,153681.023905,1.04262729677,0,1422.31612903,11.775,20056949.5414,2603077300220,22680092.5125,209.13221596,0.834349368673,106.814229776,514621,220459,295608699,214772,142735,1702177.38889,257282.176575,2822337879.82
2018-01-25,11421.7,11785.7,11057.4,11259.4,8873170000,192163000000,11214.44,16826412.5,188698793396,772706342.764,153519.416674,1.11032681013,0,1497.34177215,11.375,20445148.5648,2460585023620,23853113.88,220.85446644,1.15985450588,104.088588057,539581,236580,295388240,227471,163043,1357490.31664,189321.544668,2123135103.39
2018-01-24,10903.4,11501.4,10639.8,11359.4,9940990000,183419000000,11282.2583333,16824437.5,189817650188,921820890.749,153343.985038,1.06999395455,0,1422.85795455,12.325,19491455.5975,2227847638500,27021008.7083,283.49809897,1.33391266206,111.88855306,576212,250423,295151660,241244,162151,1502763.71387,186181.46222,2100547353.65
2018-01-23,10944.5,11377.6,10129.7,10868.4,9660610000,184087000000,11223.064,16822237.5,188797048086,1305109027.98,153155.666102,1.07034465537,0,1536.36158192,7.8,19602202.5043,2227847638500,27086864.964,285.95800518,1.39983313576,103.113799179,547568,271936,294901237,232259,165118,1539514.45966,178482.559197,2003121184.75
2018-01-22,11633.1,11966.4,10240.2,10931.4,10537400000,195645000000,10544.5933333,16820025,177360323481,1210203940.88,152966.215098,1.0810381018,0,1470.43113772,11.6,18494733.4362,2227847638500,24447639.6433,314.61253947,1.20644977781,103.148287885,574420,245562,294629301,235003,160630,1525531.99581,199105.887676,2099490615.82
2018-01-21,12889.2,12895.9,11288.2,11600.1,9935180000,216740000000,11505.228,16817937.5,193494205427,436195518.928,152785.681735,1.07749285561,0,1153.05882353,11.525,20709671.5723,2227847638500,29815798.362,343.36269629,1.73912670551,143.046333665,522861,215622,294383739,207718,152188,1108525.07147,154149.935586,1773530155.1
2018-01-20,11656.2,13103,11656.2,12899.2,11801700000,195979000000,12950.7933333,16815600,217775360376,1097313787.36,152584.190571,1.10656858989,0,1351.74719101,7.45,19712949.4111,2227847638500,33309440.4533,429.4031975,1.27566864592,142.872217954,559711,240611,294168117,230899,166380,1460377.69958,208079.363397,2694792832.29
